steps	infected	normal	lucky
0	1	39	0
1	1	39	0
2	1	39	0
3	1	39	0
4	1	39	0
5	1	39	0
6	1	39	0
7	1	39	0
8	1	39	0
9	1	39	0
10	1	39	0
11	1	39	0
12	1	39	0
13	1	39	0
14	1	39	0
15	1	39	0
16	1	39	0
17	1	39	0
18	1	39	0
19	1	39	0
20	1	39	0
21	1	39	0
22	1	39	0
23	1	39	0
24	1	39	0
25	1	39	0
26	1	39	0
27	1	39	0
28	1	39	0
29	1	39	0
30	1	39	0
31	1	39	0
32	1	39	0
33	1	39	0
34	1	39	0
35	1	39	0
36	1	39	0
37	1	39	0
38	1	39	0
39	1	39	0
40	1	39	0
41	1	39	0
42	1	39	0
43	1	39	0
44	1	39	0
45	1	39	0
46	1	39	0
47	1	39	0
48	1	39	0
49	1	39	0
50	1	39	0
51	1	39	0
52	1	39	0
53	1	39	0
54	1	39	0
55	1	39	0
56	1	39	0
57	1	39	0
58	1	39	0
59	1	39	0
60	1	39	0
61	1	39	0
62	1	39	0
63	1	39	0
64	1	39	0
65	1	39	0
66	1	39	0
67	1	39	0
68	1	39	0
69	1	39	0
70	1	39	0
71	1	39	0
72	1	39	0
73	1	39	0
74	1	39	0
75	1	39	0
76	1	39	0
77	1	39	0
78	1	39	0
79	1	39	0
80	1	39	0
81	1	39	0
82	1	39	0
83	1	39	0
84	1	39	0
85	1	39	0
86	1	39	0
87	1	39	0
88	1	39	0
89	1	39	0
90	1	39	0
91	1	39	0
92	1	39	0
93	1	39	0
94	1	39	0
95	1	39	0
96	1	39	0
97	1	39	0
98	1	39	0
99	1	39	0
100	1	39	0
101	1	39	0
102	1	39	0
103	1	39	0
104	1	39	0
105	1	39	0
106	1	39	0
107	1	39	0
108	1	39	0
109	1	39	0
110	1	39	0
111	1	39	0
112	1	39	0
113	1	39	0
114	1	39	0
115	1	39	0
116	1	39	0
117	1	39	0
118	1	39	0
119	1	39	0
120	1	39	0
121	1	39	0
122	1	39	0
123	1	39	0
124	1	39	0
125	1	39	0
126	1	39	0
127	1	39	0
128	1	39	0
129	1	39	0
130	1	39	0
131	1	39	0
132	1	39	0
133	1	39	0
134	1	39	0
135	1	39	0
136	1	39	0
137	1	39	0
138	1	39	0
139	1	39	0
140	1	39	0
141	1	39	0
142	1	39	0
143	1	39	0
144	1	39	0
145	1	39	0
146	1	39	0
147	1	39	0
148	1	39	0
149	1	39	0
150	1	39	0
151	1	39	0
152	1	39	0
153	1	39	0
154	1	39	0
155	1	39	0
156	1	39	0
157	1	39	0
158	1	39	0
159	1	39	0
160	1	39	0
161	1	39	0
162	1	39	0
163	1	39	0
164	1	39	0
165	1	39	0
166	1	39	0
167	1	39	0
168	1	39	0
169	1	39	0
170	1	39	0
171	1	39	0
172	1	39	0
173	1	39	0
174	1	39	0
175	1	39	0
176	1	39	0
177	1	39	0
178	1	39	0
179	1	39	0
180	1	39	0
181	1	39	0
182	1	39	0
183	1	39	0
184	1	39	0
185	1	39	0
186	1	39	0
187	1	39	0
188	1	39	0
189	1	39	0
190	1	39	0
191	1	39	0
192	1	39	0
193	1	39	0
194	1	39	0
195	1	39	0
196	1	39	0
197	1	39	0
198	1	39	0
199	1	39	0
200	1	39	0
201	1	39	0
202	1	39	0
203	1	39	0
204	1	39	0
205	1	39	0
206	1	39	0
207	1	39	0
208	1	39	0
209	1	39	0
210	1	39	0
211	1	39	0
212	1	39	0
213	1	39	0
214	1	39	0
215	1	39	0
216	1	39	0
217	1	39	0
218	1	39	0
219	1	39	0
220	1	39	0
221	1	39	0
222	1	39	0
223	1	39	0
224	1	39	0
225	1	39	0
226	1	39	0
227	1	39	0
228	1	39	0
229	1	39	0
230	1	39	0
231	1	39	0
232	1	39	0
233	1	39	0
234	1	39	0
235	1	39	0
236	1	39	0
237	1	39	0
238	1	39	0
239	1	39	0
240	1	39	0
241	1	39	0
242	1	39	0
243	1	39	0
244	1	39	0
245	1	39	0
246	1	39	0
247	1	39	0
248	1	39	0
249	1	39	0
250	1	39	0
251	1	39	0
252	1	39	0
253	1	39	0
254	1	39	0
255	1	39	0
256	1	39	0
257	1	39	0
258	1	39	0
259	1	39	0
260	1	39	0
261	1	39	0
262	1	39	0
263	1	39	0
264	1	39	0
265	1	39	0
266	1	39	0
267	1	39	0
268	1	39	0
269	1	39	0
270	1	39	0
271	1	39	0
272	1	39	0
273	1	39	0
274	1	39	0
275	1	39	0
