steps	infected	normal	lucky
0	0	40	0
1	0	40	0
2	0	40	0
3	0	40	0
4	0	40	0
5	0	40	0
6	0	40	0
7	0	40	0
8	0	40	0
9	0	40	0
10	0	40	0
11	0	40	0
12	0	40	0
13	0	40	0
14	0	40	0
15	0	40	0
16	0	40	0
17	0	40	0
18	0	40	0
19	0	40	0
20	0	40	0
21	0	40	0
22	0	40	0
23	0	40	0
24	0	40	0
25	0	40	0
26	0	40	0
27	0	40	0
28	0	40	0
29	0	40	0
30	0	40	0
31	0	40	0
32	0	40	0
33	0	40	0
34	0	40	0
35	0	40	0
36	0	40	0
37	0	40	0
38	0	40	0
39	0	40	0
40	0	40	0
41	0	40	0
42	0	40	0
43	0	40	0
44	0	40	0
45	0	40	0
46	0	40	0
47	0	40	0
48	0	40	0
49	0	40	0
50	0	40	0
51	0	40	0
52	0	40	0
53	0	40	0
54	0	40	0
55	0	40	0
56	0	40	0
57	0	40	0
58	0	40	0
59	0	40	0
60	0	40	0
61	0	40	0
62	0	40	0
63	0	40	0
64	0	40	0
65	0	40	0
66	0	40	0
67	0	40	0
68	0	40	0
69	0	40	0
70	0	40	0
71	0	40	0
72	0	40	0
73	0	40	0
74	0	40	0
75	0	40	0
76	0	40	0
77	0	40	0
78	0	40	0
79	0	40	0
80	0	40	0
81	0	40	0
82	0	40	0
83	0	40	0
84	0	40	0
85	0	40	0
86	0	40	0
87	0	40	0
88	0	40	0
89	0	40	0
90	0	40	0
91	0	40	0
92	0	40	0
93	0	40	0
94	0	40	0
95	0	40	0
96	0	40	0
97	0	40	0
98	0	40	0
99	0	40	0
100	0	40	0
101	0	40	0
102	0	40	0
103	0	40	0
104	0	40	0
105	0	40	0
106	0	40	0
107	0	40	0
108	0	40	0
109	0	40	0
110	0	40	0
111	0	40	0
112	0	40	0
113	0	40	0
114	0	40	0
115	0	40	0
116	0	40	0
117	0	40	0
118	0	40	0
119	0	40	0
120	0	40	0
121	0	40	0
122	0	40	0
123	0	40	0
124	0	40	0
125	0	40	0
126	0	40	0
127	0	40	0
128	0	40	0
129	0	40	0
130	0	40	0
131	0	40	0
132	0	40	0
133	0	40	0
134	0	40	0
135	0	40	0
136	0	40	0
137	0	40	0
138	0	40	0
139	0	40	0
140	0	40	0
141	0	40	0
142	0	40	0
143	0	40	0
144	0	40	0
145	0	40	0
146	0	40	0
147	0	40	0
148	0	40	0
149	0	40	0
150	0	40	0
151	0	40	0
152	0	40	0
153	0	40	0
154	0	40	0
155	0	40	0
156	0	40	0
157	0	40	0
158	0	40	0
159	0	40	0
160	0	40	0
161	0	40	0
162	0	40	0
163	0	40	0
164	0	40	0
165	0	40	0
166	0	40	0
167	0	40	0
168	0	40	0
169	0	40	0
170	0	40	0
171	0	40	0
172	0	40	0
173	0	40	0
174	0	40	0
175	0	40	0
176	0	40	0
177	0	40	0
178	0	40	0
179	0	40	0
180	0	40	0
181	0	40	0
182	0	40	0
183	0	40	0
184	0	40	0
185	0	40	0
186	0	40	0
187	0	40	0
188	0	40	0
189	0	40	0
190	0	40	0
191	0	40	0
192	0	40	0
193	0	40	0
194	0	40	0
195	0	40	0
196	0	40	0
197	0	40	0
198	0	40	0
199	0	40	0
200	0	40	0
201	0	40	0
202	0	40	0
203	0	40	0
204	0	40	0
205	0	40	0
206	0	40	0
207	0	40	0
208	0	40	0
209	0	40	0
210	0	40	0
211	0	40	0
212	0	40	0
213	0	40	0
214	0	40	0
215	0	40	0
216	0	40	0
217	0	40	0
218	0	40	0
219	0	40	0
220	0	40	0
221	0	40	0
222	0	40	0
223	0	40	0
224	0	40	0
225	0	40	0
226	0	40	0
227	0	40	0
228	0	40	0
229	0	40	0
230	0	40	0
231	0	40	0
232	0	40	0
233	0	40	0
234	0	40	0
235	0	40	0
236	0	40	0
237	0	40	0
238	0	40	0
239	0	40	0
240	0	40	0
241	0	40	0
242	0	40	0
243	0	40	0
244	0	40	0
245	0	40	0
246	0	40	0
247	0	40	0
248	0	40	0
249	0	40	0
250	0	40	0
251	0	40	0
252	0	40	0
253	0	40	0
254	0	40	0
255	0	40	0
256	0	40	0
257	0	40	0
258	0	40	0
259	0	40	0
260	0	40	0
261	0	40	0
262	0	40	0
263	0	40	0
264	0	40	0
265	0	40	0
266	0	40	0
267	0	40	0
268	0	40	0
269	0	40	0
270	0	40	0
271	0	40	0
272	0	40	0
273	0	40	0
274	0	40	0
275	0	40	0
276	0	40	0
277	0	40	0
278	0	40	0
279	0	40	0
280	0	40	0
281	0	40	0
282	0	40	0
283	0	40	0
284	0	40	0
285	0	40	0
286	0	40	0
287	0	40	0
288	0	40	0
289	0	40	0
290	0	40	0
291	0	40	0
292	0	40	0
293	0	40	0
294	0	40	0
295	0	40	0
296	0	40	0
297	0	40	0
298	0	40	0
299	0	40	0
300	0	40	0
301	0	40	0
302	0	40	0
303	0	40	0
304	0	40	0
305	0	40	0
306	0	40	0
307	0	40	0
308	0	40	0
309	0	40	0
310	0	40	0
311	0	40	0
312	0	40	0
313	0	40	0
314	0	40	0
315	0	40	0
316	0	40	0
317	0	40	0
318	0	40	0
319	0	40	0
320	0	40	0
321	1	39	0
322	1	39	0
323	1	39	0
324	1	39	0
325	1	39	0
326	1	39	0
327	1	39	0
328	1	39	0
329	1	39	0
330	1	39	0
331	1	39	0
332	1	39	0
333	1	39	0
334	1	39	0
335	1	39	0
336	1	39	0
337	1	39	0
338	1	39	0
339	1	39	0
340	1	39	0
341	1	39	0
342	1	39	0
343	1	39	0
344	1	39	0
345	1	39	0
346	1	39	0
347	1	39	0
348	1	39	0
349	1	39	0
350	1	39	0
351	1	39	0
352	1	39	0
353	1	39	0
354	1	39	0
355	1	39	0
356	1	39	0
357	1	39	0
358	1	39	0
359	1	39	0
360	1	39	0
361	1	39	0
362	1	39	0
363	1	39	0
364	1	39	0
