steps	infected	normal	lucky
0	0	20	0
1	1	19	0
2	1	19	0
3	1	19	0
4	1	19	0
5	1	19	0
6	1	19	0
7	1	19	0
8	1	19	0
9	1	19	0
10	1	19	0
11	1	19	0
12	1	19	0
13	1	19	0
14	1	19	0
15	1	19	0
16	1	19	0
17	1	19	0
18	1	19	0
19	1	19	0
20	1	19	0
21	1	19	0
22	1	19	0
23	1	19	0
24	1	19	0
25	1	19	0
26	1	19	0
27	1	19	0
28	1	19	0
29	1	19	0
30	1	19	0
31	1	19	0
32	1	19	0
33	1	19	0
34	1	19	0
35	1	19	0
36	1	19	0
37	1	19	0
38	1	19	0
39	1	19	0
40	1	19	0
41	1	19	0
42	1	19	0
43	1	19	0
44	1	19	0
45	1	19	0
46	1	19	0
47	1	19	0
48	1	19	0
49	1	19	0
50	1	19	0
51	1	19	0
52	1	19	0
53	1	19	0
54	1	19	0
55	1	19	0
56	1	19	0
57	1	19	0
58	1	19	0
59	1	19	0
60	1	19	0
61	1	19	0
62	1	19	0
63	1	19	0
64	1	19	0
65	1	19	0
66	1	19	0
67	1	19	0
68	1	19	0
69	1	19	0
70	1	19	0
71	1	19	0
72	1	19	0
73	1	19	0
74	1	19	0
75	1	19	0
76	1	19	0
77	1	19	0
78	1	19	0
79	1	19	0
80	1	19	0
81	1	19	0
82	1	19	0
83	1	19	0
84	1	19	0
85	1	19	0
86	1	19	0
87	1	19	0
88	1	19	0
89	1	19	0
90	1	19	0
91	1	19	0
92	1	19	0
93	1	19	0
94	1	19	0
95	1	19	0
96	1	19	0
97	1	19	0
98	1	19	0
99	1	19	0
100	1	19	0
101	1	19	0
102	1	19	0
103	1	19	0
104	1	19	0
105	1	19	0
106	1	19	0
107	1	19	0
108	1	19	0
109	1	19	0
110	1	19	0
111	1	19	0
112	1	19	0
113	1	19	0
114	1	19	0
115	1	19	0
116	1	19	0
117	1	19	0
118	1	19	0
119	1	19	0
120	1	19	0
121	1	19	0
122	1	19	0
123	1	19	0
124	1	19	0
125	1	19	0
126	1	19	0
127	1	19	0
128	1	19	0
129	1	19	0
130	1	19	0
131	1	19	0
132	1	19	0
133	1	19	0
134	1	19	0
135	1	19	0
136	1	19	0
137	1	19	0
138	1	19	0
139	1	19	0
140	1	19	0
141	1	19	0
142	1	19	0
143	1	19	0
144	1	19	0
145	1	19	0
146	1	19	0
147	1	19	0
148	1	19	0
149	1	19	0
150	1	19	0
151	1	19	0
152	1	19	0
153	1	19	0
154	1	19	0
155	1	19	0
156	1	19	0
157	1	19	0
158	1	19	0
159	1	19	0
160	1	19	0
161	1	19	0
162	1	19	0
163	1	19	0
164	1	19	0
165	1	19	0
166	1	19	0
167	1	19	0
168	1	19	0
169	1	19	0
170	1	19	0
171	1	19	0
172	1	19	0
173	1	19	0
174	1	19	0
175	1	19	0
176	1	19	0
177	1	19	0
178	1	19	0
179	1	19	0
180	1	19	0
181	1	19	0
182	1	19	0
183	1	19	0
184	1	19	0
185	1	19	0
186	1	19	0
187	1	19	0
188	1	19	0
189	1	19	0
190	1	19	0
191	1	19	0
192	1	19	0
193	1	19	0
194	1	19	0
195	1	19	0
196	1	19	0
197	1	19	0
198	1	19	0
199	1	19	0
200	1	19	0
201	1	19	0
202	1	19	0
203	1	19	0
204	1	19	0
205	1	19	0
206	1	19	0
207	1	19	0
208	1	19	0
209	1	19	0
210	1	19	0
211	1	19	0
212	1	19	0
213	1	19	0
214	1	19	0
215	1	19	0
216	1	19	0
217	1	19	0
218	1	19	0
219	1	19	0
220	1	19	0
221	1	19	0
222	1	19	0
223	1	19	0
224	1	19	0
225	1	19	0
226	1	19	0
227	1	19	0
228	1	19	0
229	1	19	0
230	1	19	0
231	1	19	0
232	1	19	0
233	1	19	0
234	1	19	0
235	1	19	0
236	1	19	0
237	1	19	0
238	1	19	0
239	1	19	0
240	1	19	0
241	1	19	0
242	1	19	0
243	1	19	0
244	1	19	0
245	1	19	0
246	1	19	0
247	1	19	0
248	1	19	0
249	1	19	0
250	1	19	0
251	1	19	0
252	1	19	0
253	1	19	0
254	1	19	0
255	1	19	0
256	1	19	0
257	1	19	0
258	1	19	0
259	1	19	0
260	1	19	0
261	1	19	0
262	1	19	0
263	1	19	0
264	1	19	0
265	1	19	0
266	1	19	0
267	1	19	0
268	1	19	0
269	1	19	0
270	1	19	0
271	1	19	0
272	1	19	0
273	1	19	0
274	1	19	0
275	1	19	0
276	1	19	0
277	1	19	0
278	1	19	0
279	1	19	0
280	1	19	0
281	1	19	0
282	1	19	0
283	1	19	0
284	1	19	0
285	1	19	0
286	1	19	0
287	1	19	0
288	1	19	0
289	1	19	0
290	1	19	0
291	1	19	0
292	1	19	0
293	1	19	0
294	1	19	0
